Largo (tupla) [mm],Insertidumbre Largo [mm],Area [mm^2],Insertidumbre Area [mm^2],Diametro1 (tupla) [mm],Diametro2 (tupla) [mm],Diametro3 (tupla) [mm],Promedio Diametro [mm],Insertidumbre Diametro [mm],Volumen [mm^3],Insertidumbre Volumen [mm^3],Masa [g],Insertidumbre Masa [g]
"50,50",1,2500.0,100.0,"14,15,14","13,13,14","9,10,11",12.555555555555555,1.2146228393930802,1036.349934862083,300.7690806473404,0.42,0.01
"50,70",1,3500.0,86.02325267042627,"16,19,20","15,18,17","18,16,13",16.88888888888889,1.2297746456210363,2522.32972419247,550.9948871915884,0.65,0.01
"70,90",1,6300.0,114.0175425099138,"21,20,19","20,19,19","20,19,17",19.333333333333332,1.0671873729054748,3783.71867794575,626.5763993374607,1.10,0.01
"100,100",1,10000.0,200.0,"24,27,24","23,25,24","20,23,22",23.555555555555557,1.191533921640401,6843.50638483384,1038.515518930609,1.75,0.01
"100,120",1,12000.0,156.20499351813308,"26,28,27","23,26,24","23,25,24",25.11111111111111,1.1600340565456166,8290.799478896664,1149.0064747380138,2.04,0.01
"120,120",1,14400.0,240.0,"30,29,28","28,29,27","27,26,28",28.0,1.0801234497346432,11494.040321933855,1330.1766947053163,2.49,0.01
"150,150",1,22500.0,300.0,"30,32,32","29,28,30","28,30,27",29.555555555555557,1.156036224815823,13518.110865594019,1586.2424736691084,3.80,0.01
"150,170",1,25500.0,226.71568097509268,"35,36,32","26,31,31","33,32,33",32.111111111111114,1.3788526273323174,17336.62767396359,2233.3068327606406,4.32,0.01
"190,190",1,36100.0,380.0,"40,39,42","33,36,34","35,36,34",36.55555555555556,1.4347968411272174,25577.540902437817,3011.7371490782357,6.22,0.01
"200,200",1,40000.0,400.0,"39,42,38","36,33,36","37,35,36",36.888888888888886,1.3170299545699664,26283.63001178815,2815.18330448704,6.78,0.01
